"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60203900003028","Nodes","3028","21.000000","34.518404","Default Known Flow Node","Known Flow","307954.308402","686934.913256","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003044","Nodes","3044","21.000000","41.101635","DDS demands","Known Flow","306373.732357","688349.891757","","0.000000","","","","","-4.280000","","","-3.827252","-4.280000","","","","","","","D1 PROFILE","",""
"60203900000254","Nodes","254","21.000000","22.336422","DDS demands","Known Flow","306668.661572","685984.634490","","0.000000","","","","","","-6.000000","","-5.365307","-6.000000","","","","","","","","I2 PROFILE",""
"60203900003010","Nodes","3010","21.000000","36.040845","Default Known Flow Node","Known Flow","306907.031031","686687.000029","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003040","Nodes","3040","21.000000","33.871202","Default Known Flow Node","Known Flow","306834.494854","686858.067566","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003015","Nodes","3015","21.000000","38.978314","Default Known Flow Node","Known Flow","306739.188622","686628.342047","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003004","Nodes","3004","21.000000","37.268689","Default Known Flow Node","Known Flow","306747.799625","686658.507056","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003011","Nodes","3011","21.000000","36.040845","Default Known Flow Node","Known Flow","306922.109672","686687.367063","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003026","Nodes","3026","21.000000","39.021900","Default Known Flow Node","Known Flow","306738.427622","686636.135049","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000262","Nodes","262","21.000000","35.260408","Default Known Flow Node","Known Flow","307067.384646","686674.820736","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003013","Nodes","3013","21.000000","35.303513","Default Known Flow Node","Known Flow","307090.024775","686691.711846","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003012","Nodes","3012","21.000000","35.303513","Default Known Flow Node","Known Flow","307083.191756","686688.976680","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003022","Nodes","3022","21.000000","38.134819","Default Known Flow Node","Known Flow","306501.192557","686568.585031","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003068","Nodes","3068","21.000000","38.134819","Default Known Flow Node","Known Flow","306503.216874","686568.846860","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003019","Nodes","3019","21.000000","40.831980","Default Known Flow Node","Known Flow","306595.967583","686627.402047","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000032","Nodes","32","21.000000","38.134819","DDS demands","Known Flow","306538.995568","686573.125032","","0.000000","","","","","-13.910000","","","-12.438570","-13.910000","","","","","","","D1 PROFILE","",""
"60203900003016","Nodes","3016","21.000000","38.177723","Default Known Flow Node","Known Flow","306502.002558","686577.759034","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003069","Nodes","3069","21.000000","40.909524","Default Known Flow Node","Known Flow","306624.164064","686589.556037","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003018","Nodes","3018","21.000000","38.177723","Default Known Flow Node","Known Flow","306536.131567","686616.415044","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003042","Nodes","3042","21.000000","32.938780","Default Known Flow Node","Known Flow","307121.756998","686867.286479","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003052","Nodes","3052","21.000000","41.143992","DDS demands","Known Flow","306464.653371","688421.109023","","0.000000","","","","","-0.560000","","","-0.500762","-0.560000","","","","","","","D1 PROFILE","",""
"60203900003051","Nodes","3051","21.000000","41.143458","DDS demands","Known Flow","306463.262622","688500.856823","","0.000000","","","","","-3.029999","","","-2.709480","-3.029999","","","","","","","D1 PROFILE","",""
"60203900000256","Nodes","256","21.000000","35.086379","DDS demands","Known Flow","307426.515169","686802.030529","","0.000000","","","","","-5.929999","","","-5.302711","-5.929999","","","","","","","D1 PROFILE","",""
"60203900000199","Nodes","199","21.000000","35.249928","Default Known Flow Node","Known Flow","307913.627652","686973.219968","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000087","Nodes","87","21.000000","35.894153","DDS demands","Known Flow","306167.687650","686835.015210","","0.000000","","","","","-13.139999","","","-11.750022","-13.139999","","","","","","","D1 PROFILE","",""
"60203900000264","Nodes","Logger 9623, 6 Douglas Avenue","21.000000","35.724821","Val Log Cath","Known Flow","306261.478634","686800.081923","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000265","Nodes","Logger 10261, 11 Kirkwood Crescent","21.000000","36.441263","Val Log Cath","Known Flow","306673.341319","686869.402564","","0.000000","","","","","-2.209999","","","-1.976221","-2.209999","","","","","","","D1 PROFILE","",""
"60203900000267","Nodes","267","21.000000","41.188093","Default Known Flow Node","Known Flow","306379.823374","688353.088499","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000268","Nodes","Logger 9179, 8 Arkaig Drive","21.000000","21.865043","Val Log Post","Known Flow","306906.130651","685951.171618","","0.000000","","","","","-9.479999","","","-8.477185","-9.479999","","","","","","","D1 PROFILE","",""
"60203900000038","Nodes","38","21.000000","32.718824","DDS demands","Known Flow","306564.959575","686760.231083","","0.000000","","","","","-10.029999","","","-8.969005","-10.029999","","","","","","","D1 PROFILE","",""
"60203900003034","Nodes","3034","21.000000","32.718824","Default Known Flow Node","Known Flow","306566.911575","686767.587085","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000002","Nodes","WAGGON ROAD DG, Tel, Clocked, Site ID:2049","21.000000","26.999999","Default Known Pressure Node","Known Pressure","307021.309699","686287.495955","","849.999980","","","","","","","","378.911732","423.735362","","","","","","","","",""
"60203900000030","Nodes","30","21.000000","35.400266","DDS demands","Known Flow","306312.848506","686629.303048","","0.000000","","","","","-7.219999","","","-6.456253","-7.219999","","","","","","","D1 PROFILE","",""
"60203900000127","Nodes","127","21.000000","37.534489","DDS demands","Known Flow","306520.189563","686676.025060","","0.000000","","","","","-7.450000","","","-6.661923","-7.450000","","","","","","","D1 PROFILE","",""
"60203900003047","Nodes","3047","21.000000","34.982513","Default Known Flow Node","Known Flow","307352.749753","686780.526464","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000047","Nodes","47","21.000000","38.806397","DDS demands","Known Flow","306704.097806","686667.406950","","0.000000","","","","","-6.300000","","","-5.633573","-6.300000","","","","","","","D1 PROFILE","",""
"60203900000037","Nodes","37","21.000000","38.628205","DDS demands","Known Flow","306642.086001","686762.108361","","0.000000","","","","","-11.629999","","","-10.399753","-11.629999","","","","","","","D1 PROFILE","",""
"60203900001001","Nodes","1001","21.000000","38.605368","DDS demands","Known Flow","306575.845926","686856.723023","","0.000000","","","","","-1.729999","","","-1.546996","-1.729999","","","","","","","D1 PROFILE","",""
"60203900000040","Nodes","40","21.000000","39.111350","DDS demands","Known Flow","306498.536523","686950.593557","","0.000000","","","","","-10.689999","","","-9.559189","-10.689999","","","","","","","D1 PROFILE","",""
"60203900000326","Nodes","326","21.000000","37.620939","Default Known Flow Node","Known Flow","306519.404303","686684.546013","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000328","Nodes","328","21.000000","37.386450","Default Known Flow Node","Known Flow","306507.231559","686683.648062","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000333","Nodes","333","21.000000","32.947012","Default Known Flow Node","Known Flow","306641.708875","686767.179796","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000329","Nodes","329","21.000000","37.948133","Default Known Flow Node","Known Flow","306528.395565","686685.059063","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000339","Nodes","339","21.000000","38.582066","Default Known Flow Node","Known Flow","306706.858613","686669.452059","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000344","Nodes","344","21.000000","36.090493","Default Known Flow Node","Known Flow","306498.441557","686756.161082","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000346","Nodes","346","21.000000","35.401753","Default Known Flow Node","Known Flow","306311.206506","686636.596050","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000348","Nodes","348","21.000000","32.800605","Default Known Flow Node","Known Flow","306644.815596","686762.735084","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000350","Nodes","350","21.000000","32.280748","Default Known Flow Node","Known Flow","306703.727290","686758.168160","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000367","Nodes","367","21.000000","40.421197","Default Known Flow Node","Known Flow","306215.556753","687793.705622","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000370","Nodes","370","21.000000","40.507244","Default Known Flow Node","Known Flow","306222.908009","687805.094045","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000435","Nodes","435","21.000000","33.372135","Default Known Flow Node","Known Flow","306867.734657","686866.053112","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000502","Nodes","502","21.000000","33.882384","Default Known Flow Node","Known Flow","307777.975144","686148.761650","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000036","Nodes","36","21.000000","38.667834","DDS demands","Known Flow","306678.765606","686709.542069","","0.000000","","","","","-2.710000","","","-2.423330","-2.710000","","","","","","","D1 PROFILE","",""
"60203900000102","Nodes","102, Logie House(MAX REF:197805)","21.000000","33.106513","DDS demands","Known Flow","307817.799526","686154.665168","","0.000000","","","","","-5.030000","","","-4.497916","-5.030000","","","","","","","D1 PROFILE","",""
"60203900000196","Nodes","196","21.000000","40.806065","DDS demands","Known Flow","306216.852775","687940.676588","","0.000000","","","","","-4.330000","","","-3.871963","-4.330000","","","","","","","D1 PROFILE","",""
"60203900000271","Nodes","271","21.000000","22.400630","DDS demands","Known Flow","306693.713502","685970.223312","","0.000000","","","","","-18.030000","","","-16.122749","-18.030000","","","","","","","D1 PROFILE","",""
"60203900000007","Nodes","7","21.000000","35.700669","Default Known Flow Node","Known Flow","306466.197992","686765.292847","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000008","Nodes","Logger 10266, 26 Waggon Road","21.000000","28.616449","Val Log Cath","Known Flow","306924.438156","686476.781612","","0.000000","","","","","-8.180000","","","-7.314702","-8.180000","","","","","","","D1 PROFILE","",""
"60203900000005","Nodes","Logger 10272, 5 Waggon Road","21.000000","33.066915","Val Log Cath","Known Flow","306875.015290","686587.547635","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003000","Nodes","3000","21.000000","26.935431","Default Known Flow Node","Known Flow","307015.306010","686280.122417","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900002002","Nodes","2002","21.000000","22.710819","Default Known Flow Node","Known Flow","306747.357624","686027.593884","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
