"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60603600000114","Nodes","-57","21.000000","45.930319","Default Known Flow Node","Known Flow","399807.500000","825472.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000001","Nodes","NEWBURGH DG, Site ID 1286","21.000000","45.999998","Default Known Pressure Node","Known Pressure","399812.625000","825471.000000","","999998.967025","","","","","","","","","","708.166865","791.940018","","","","","","","","","","",""
"60603600000112","Nodes","-50","21.000000","38.102275","Default Known Flow Node","Known Flow","399633.348121","825405.695679","","0.000000","","","","","-6.390000","","","","","-5.714052","-6.390000","","","","","","","D1 PROFILE","","","",""
"60603600000049","Nodes","49","21.000000","37.982961","DDS demands","Known Flow","399586.287651","825373.449845","","0.000000","","","","","-7.430000","","","","","-6.644039","-7.430000","","","","","","","D1 PROFILE","","","",""
"60603600000074","Nodes","74","21.000000","29.686537","DDS demands","Known Flow","399821.500000","825166.250000","","0.000000","-3.059999","","","","-14.380000","","","","","-15.595160","-17.440000","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"60603600000107","Nodes","-30","21.000000","29.401672","Default Known Flow Node","Known Flow","399830.875000","825166.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000105","Nodes","-26","21.000000","28.461961","DDS demands","Known Flow","399890.375000","825164.000000","","0.000000","","","","","-57.659999","","","","","-51.560605","-57.659999","","","","","","","D1 PROFILE","","","",""
"60603600000076","Nodes","P08118194, MAIN STREET, -12.09","22.999998","24.777563","CSEP Unmatched","Known Flow","399892.743494","825307.539033","","","","","","","","-12.090000","","","","-10.811094","-12.090000","","","","","","","","DC PROFILE","","",""
"60603600000108","Nodes","-32","21.000000","28.304180","Default Known Flow Node","Known Flow","399894.750000","825167.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000073","Nodes","73","21.000000","28.413967","Default Known Flow Node","Known Flow","399895.375000","825159.250000","","0.000000","","","","","-0.099999","","","","","-0.089421","-0.099999","","","","","","","D1 PROFILE","","","",""
"60603600000106","Nodes","-27","21.000000","29.566095","Default Known Flow Node","Known Flow","399790.375000","825164.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000096","Nodes","-1462490","21.000000","29.335004","Default Known Flow Node","Known Flow","399687.125000","825126.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000099","Nodes","-1462497","21.000000","48.693233","Default Known Flow Node","Known Flow","399480.625000","825126.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000109","Nodes","-46","21.000000","38.187488","Default Known Flow Node","Known Flow","399631.601547","825367.434394","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000094","Nodes","-1462485","21.000000","38.187488","Default Known Flow Node","Known Flow","399635.513747","825367.059252","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000092","Nodes","-1462478","21.000000","28.304180","Default Known Flow Node","Known Flow","399894.750000","825166.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000090","Nodes","-1462473","21.000000","38.230104","Default Known Flow Node","Known Flow","399624.259473","825367.702353","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000088","Nodes","88","21.000000","29.450027","DDS demands","Known Flow","399704.375000","825160.500000","","0.000000","","-18.510000","","","-33.919998","","","","","-46.883845","-52.430001","","","","C2 PROFILE","","","D1 PROFILE","","","",""
"60603600001022","Nodes","P09121022, THE QUAY MAIN STREET, -34.99","24.000000","24.518917","CSEP Unmatched","Known Flow","400100.436068","825963.202084","","0.000000","","","","","","-34.990001","","","","-31.288686","-34.990001","","","","","","","","DC PROFILE","","",""
"60603600000116","Nodes","-76","21.000000","40.654651","Default Known Flow Node","Known Flow","399825.325776","825414.910652","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001024","Nodes","1024","21.000000","40.412830","Default Known Flow Node","Known Flow","399828.445538","825410.535664","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001023","Nodes","1023","21.000000","38.503581","Default Known Flow Node","Known Flow","399747.312500","825374.687500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000052","Nodes","","21.000000","39.210391","Default Known Flow Node","Known Flow","399740.113544","825383.207540","","0.000000","","","","","-4.159999","","","","","-3.719946","-4.159999","","","","","","","D1 PROFILE","","","",""
"60603600000006","Nodes","","21.000000","25.955178","Default Known Flow Node","Known Flow","399859.715027","824992.802339","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000029","Nodes","","21.000000","40.697842","Default Known Flow Node","Known Flow","399824.839840","825415.551524","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000009","Nodes","MAXIMO 471521 - DIVERSIFIED LOAD ADDED ONLY 10 HOUSES","21.000000","29.251328","Point Loads","Known Flow","399782.854603","825102.359952","","0.000000","","","","","","","","","-9.999999","-8.942178","-9.999999","","","","","","","","","","","PL-AF PROFILE"
"60603600000003","Nodes","","21.000000","23.470183","Default Known Flow Node","Known Flow","399804.235581","824850.679235","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000008","Nodes","","21.000000","23.470183","Default Known Flow Node","Known Flow","399816.046281","824897.641394","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000010","Nodes","","21.000000","29.251328","Default Known Flow Node","Known Flow","399812.148106","825087.116080","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000048","Nodes","","21.000000","39.632233","Default Known Flow Node","Known Flow","399770.376236","825403.836233","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000050","Nodes","","21.000000","39.315839","Default Known Flow Node","Known Flow","399756.787626","825392.078687","","0.000000","","","","","-3.670000","","","","","-3.281779","-3.670000","","","","","","","D1 PROFILE","","","",""
"60603600000053","Nodes","","21.000000","23.796171","Default Known Flow Node","Known Flow","400100.782580","826099.489642","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000075","Nodes","","21.000000","28.444541","DDS demands","Known Flow","399893.875000","825159.625000","","0.000000","","","","-4.320000","0.000000","","","","","-3.863021","-4.320000","","","","","","C4 PROFILE","D1 PROFILE","","","",""
